Students number,Points
1003732,45
1005882,21
1007330,100
1010553,28
1011646,100
1012417,30
1013756,100
1014928,100
1016648,87
1019014,100
1022343,50
1022672,48
1023633,100
1023658,100
1024199,26
1024325,74
1025036,38
1025499,29
1025804,100
1025916,100
1026120,64
1026261,62
1028102,51
1028109,0
1028346,73
1028574,79
1028896,62
1028952,100
1028988,16
1029123,36
1029155,60
1111111,0
2000443,84
2001509,35
2004540,0
2011051,100
2012180,57
2013684,0
2015994,100
2017527,0
2020179,59
2023497,11
2023649,100
2024490,77
2024547,55
2024678,41
2024840,80
2025271,73
2025457,100
2025885,0
2025905,54
2025915,100
2026053,71
2026129,71
2026165,100
2026545,79
2026929,0
2028287,0
2028518,52
2028708,74
3002152,100
3007761,49
3009622,70
3013584,52
3016761,75
3017215,81
3021683,100
3021989,51
3022516,35
3022531,0
3022628,37
3023292,100
3023601,46
3023694,76
3024252,79
3024415,46
3025071,0
3025451,100
3025459,88
3025672,69
3025929,57
3025966,100
3026314,78
3026651,41
3028116,0
3028128,70
3028269,81
3028308,34
3028431,0
3028545,0
3028675,70
3028892,0
4001595,78
4003202,27
4005977,100
4009301,69
4016612,16
4019896,0
4020329,27
4020541,20
4020615,81
4020640,88
4021762,62
4022067,45
4023002,74
4024418,60
4024952,61
4025116,89
4025352,0
4025426,100
4025623,68
4025630,75
4026244,55
4026259,0
4028067,39
4028262,87
4028289,62
4028448,40
4028512,69
4028733,85
4029043,46
5003579,86
5004583,28
5013813,64
5017035,28
5019721,100
5022526,54
5023310,30
5023533,43
5024334,0
5024548,55
5024881,82
5024942,36
5025384,100
5025463,70
5025469,43
5025590,53
5025595,100
5025604,100
5025947,68
5026112,100
5027021,49
5027370,61
5028234,13
5028348,0
6000998,85
6010548,85
6015986,100
6016050,39
6016327,88
6016359,25
6019618,0
6021833,69
6023219,71
6023508,57
6023648,79
6024156,61
6024246,47
6024327,100
6024378,100
6024752,100
6024924,100
6025617,30
6025890,38
6025983,0
6026214,59
6026321,80
6026878,12
6027166,31
6027280,100
6028175,100
6028609,81
6028718,65
6029156,42
7000404,86
7001098,0
7006074,40
7006627,80
7006692,0
7007258,0
7009205,0
7010109,71
7011706,64
7011804,57
7012520,74
7015906,28
7016915,74
7017217,100
7018529,100
7020171,100
7020490,0
7022639,82
7023270,61
7023402,54
7023588,46
7024455,100
7025012,43
7025019,44
7025691,14
7025800,59
7025894,75
7026060,70
7026616,84
7026837,100
7028192,53
7028193,83
7028233,72
7028335,63
7028944,100
7029028,28
7029152,0
8004782,88
8005199,82
8005383,0
8008985,0
8009582,100
8010486,51
8014760,47
8014921,100
8015915,14
8017811,49
8018420,73
8019465,100
8020559,100
8021373,0
8022217,83
8022299,0
8022739,100
8023224,45
8023250,55
8023545,100
8024152,0
8024397,0
8024407,85
8024687,61
8024689,60
8025197,100
8025242,64
8025575,76
8025596,100
8025728,74
8025793,67
8025952,65
8025954,86
8026163,76
8026223,100
8026260,86
8026630,46
8026897,0
8028338,23
8028540,27
8028728,18
8029168,0
9000912,0
9002306,55
9006572,72
9011119,33
9016437,85
9016873,40
9018360,80
9023655,69
9024134,100
9024249,74
9024341,54
9024877,50
9025240,45
9025284,85
9025360,100
9025378,100
9025379,61
9025435,76
9025506,61
9025587,87
9025693,70
9025998,45
9026000,100
9026169,77
9026191,0
9026255,36
9026512,74
9026571,81
9026790,100
9027577,0
9028325,61
9028547,45
9028661,45
9028906,57
9028913,35
